username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:40;54;209;"My staff and I are all safe. Thinking of my colleagues, Capitol Police officers, & all involved in this horrific incident.";;;;"874969762257874944";https://twitter.com/RepJohnYarmuth/status/874969762257874944
;2017-06-12 17:08;29;105;"One year since the Pulse nightclub shooting, let us remember that hate will never have a place here. Love always endures. #WeAreOrlando";;;#WeAreOrlando;"874387960392822789";https://twitter.com/RepJohnYarmuth/status/874387960392822789
;2017-06-10 15:09;15;109;"Congratulations to @UofLBaseball ! Omaha bound! #CWS2017";;@UofLBaseball;#CWS2017;"873633178975707136";https://twitter.com/RepJohnYarmuth/status/873633178975707136
;2017-06-10 08:16;26;87;"Joined @ThomasARoberts on @MSNBC this morning to discuss @realDonaldTrump 's inability to tell the truth. pic.twitter.com/Ta5UHrpAyh";;@ThomasARoberts @MSNBC @realDonaldTrump;;"873529261377900545";https://twitter.com/RepJohnYarmuth/status/873529261377900545
;2017-06-08 14:15;0;0;"https:// yarmuth.house.gov/press/yarmuth- statement-on-former-fbi-director-james-comeys-testimony-before-senate-intelligence-committee/ …";;;;"872894915289677824";https://twitter.com/RepJohnYarmuth/status/872894915289677824
;2017-06-08 12:11;47;107;"My statement on former FBI Director James Comey's testimony before the Senate Intelligence Committee: pic.twitter.com/YAoWYi1xfn";;;;"872863747710361600";https://twitter.com/RepJohnYarmuth/status/872863747710361600
;2017-06-06 16:11;7;48;"Today, we remember the brave souls who stormed the beaches of Normandy in defense of our freedom & thank all who serve for their sacrifices. pic.twitter.com/amffnt38kf";;;;"872199365187837952";https://twitter.com/RepJohnYarmuth/status/872199365187837952
;2017-06-03 16:58;35;101;"Remembering The Greatest one year after he passed. A champion for peace, justice, and equality. Hell of a boxer, too. #RememberAli pic.twitter.com/focLizFnkO";;;#RememberAli;"871123964478849025";https://twitter.com/RepJohnYarmuth/status/871123964478849025
;2017-06-02 11:49;56;191;"I join citizens throughout Louisville and across our country in demanding ACTION to address our nation's gun violence epidemic. #WearOrange";;;#WearOrange;"870683715361308672";https://twitter.com/RepJohnYarmuth/status/870683715361308672
;2017-06-01 14:36;121;221;"My statement on President Trump's announcement that he will completely withdraw the U.S. from the Paris climate agreement: pic.twitter.com/K0p5U2DkkF";;;;"870363411363790852";https://twitter.com/RepJohnYarmuth/status/870363411363790852
;2017-06-01 11:16;16;59;"Happy 225th, Kentucky! As Chair of the Bourbon Caucus, I know just how to celebrate. #KY225 pic.twitter.com/QYwx468Lta";;;#KY225;"870313122984275969";https://twitter.com/RepJohnYarmuth/status/870313122984275969
;2017-06-01 08:21;9;38;"Wishing Louisville's Tara Singh the best of luck in today's finals of the @ScrippsBee . Your city is so incredibly proud of you! #Speller207";;@ScrippsBee;#Speller207;"870268949161705472";https://twitter.com/RepJohnYarmuth/status/870268949161705472
;2017-05-29 07:21;19;63;"On Memorial Day, I reflect on the Gettysburg Address and the sacrifices made by those who risked and lost their lives to protect our nation. pic.twitter.com/bVxETmBVLw";;;;"869166915851345920";https://twitter.com/RepJohnYarmuth/status/869166915851345920
;2017-05-27 13:12;5;21;"My statement on the passing of Sen. Jim Bunning: pic.twitter.com/QT2K6p6XnK";;;;"868530402453008384";https://twitter.com/RepJohnYarmuth/status/868530402453008384
;2017-05-24 16:47;7;10;"Discussing the #AHCA repeal bill's CBO score now with @rebeccavallas of @amprog on Facebook Live. Watch LIVE here: https://www. facebook.com/RepJohnYarmuth /videos/10156380151406164/ …";;@rebeccavallas @amprog;#AHCA;"867497330538360832";https://twitter.com/RepJohnYarmuth/status/867497330538360832
;2017-05-24 16:30;9;14;"LIVE w. @amprog 's @rebeccavallas to discuss AHCA CBO score & what #TrumpCuts budget means for anti-poverty efforts: https://www. facebook.com/RepJohnYarmuth /videos/10156380151406164/ …";;@amprog @rebeccavallas;#TrumpCuts;"867493034002395137";https://twitter.com/RepJohnYarmuth/status/867493034002395137
;2017-05-24 08:27;20;34;"Watch the @WhiteHouse try to defend their disaster of a budget as OMB Dir. Mulvaney testifies @HouseBudgetDems : https://www. facebook.com/housebudgetdem s/videos/10154728355179952 …";;@WhiteHouse @HouseBudgetDems;;"867371518262730752";https://twitter.com/RepJohnYarmuth/status/867371518262730752
;2017-05-23 11:45;9;37;"I'm joining @SenSanders , @NancyPelosi , and @SenSchumer to discuss the #TrumpCuts budget. Watch LIVE here: https://www. facebook.com/housebudgetdem s/videos/10154726156279952/ …";;@SenSanders @NancyPelosi @SenSchumer;#TrumpCuts;"867059032657461248";https://twitter.com/RepJohnYarmuth/status/867059032657461248
;2017-05-23 10:47;127;194;"My statement on the #TrumpCuts budget released today: pic.twitter.com/SS6IIt2tuE";;;#TrumpCuts;"867044409841463296";https://twitter.com/RepJohnYarmuth/status/867044409841463296
;2017-05-23 07:15;545;717;"The #TrumpCuts budget is an assault on working families, our economy, & our security. The American people deserve better from the President. pic.twitter.com/AWBljw5hIQ";;;#TrumpCuts;"866990848562544648";https://twitter.com/RepJohnYarmuth/status/866990848562544648
;2017-05-19 10:45;9;46;"Just met up with this pack of @BrandeisBears in the @uscapitol . Enjoy your visit, Brandeis Elementary! pic.twitter.com/f15hkdnXpP";;@BrandeisBears @uscapitol;;"865594286959583232";https://twitter.com/RepJohnYarmuth/status/865594286959583232
;2017-05-17 15:04;37;130;"Just signed Discharge Petition to force a vote to create an independent commission to #FollowTheFacts on Russia. The people deserve answers. pic.twitter.com/trgj6ZLPIH";;;#FollowTheFacts;"864934697092120577";https://twitter.com/RepJohnYarmuth/status/864934697092120577
;2017-05-17 13:27;39;155;"Great column, but I worry the comparison grossly underestimates the intelligence of 7-year-olds. https:// twitter.com/nytopinion/sta tus/864454024212467712 …";;;;"864910310058151939";https://twitter.com/RepJohnYarmuth/status/864910310058151939
;2017-05-15 17:29;198;385;"If these reports are true, President Trump has become a threat to our national security. Unprecedented. Unacceptable. Un-American. https:// twitter.com/washingtonpost /status/864224477693005826 …";;;;"864246432894779392";https://twitter.com/RepJohnYarmuth/status/864246432894779392
;2017-05-14 09:22;11;68;"To all the moms who, like mine, have dedicated so much of their lives to supporting their children every day: Thank you. Happy Mother's Day!";;;;"863761536124432384";https://twitter.com/RepJohnYarmuth/status/863761536124432384
