username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 10:30;6;12;"My thoughts and prayers are w/ @SteveScalise , Capitol Police and staff who were injured in this horrific act of violence. My full statement: pic.twitter.com/yQNK956LMO";;@SteveScalise;;"875012562869526528";https://twitter.com/RepPeteAguilar/status/875012562869526528
;2017-06-12 14:38;13;33;"We remember and honor the 49 innocent lives taken one year ago at #Pulse & pledge to never remain silent in the face of hate. #OrlandoUnited pic.twitter.com/0Z7y3tyjSn";;;#Pulse #OrlandoUnited;"874350217751146497";https://twitter.com/RepPeteAguilar/status/874350217751146497
;2017-06-09 17:00;11;16;"Inspired by ambition of #InlandEmpire students at my #Dreamers Networking Mixer. More here: http:// bit.ly/2s5QUr4 #ImmigrantHeritageMonth pic.twitter.com/nQY2Du6NJk";;;#InlandEmpire #Dreamers #ImmigrantHeritageMonth;"873298697379090439";https://twitter.com/RepPeteAguilar/status/873298697379090439
;2017-06-08 15:50;2;3;"Mark your calendar: my 2017 Senior Fair is July 7th in Colton from 9AM to 12PM. Details here: http:// bit.ly/2skfRzx . #CA31";;;#CA31;"872918780770476032";https://twitter.com/RepPeteAguilar/status/872918780770476032
;2017-06-07 16:57;7;27;"Almost 2 years ago #SCOTUS affirmed what we already knew: #AllLoveIsEqual . Every June – and every day – we celebrate that. #Pride2017 https:// twitter.com/RepPeteAguilar /status/614435604185653248 …";;;#SCOTUS #AllLoveIsEqual #Pride2017;"872573352514392064";https://twitter.com/RepPeteAguilar/status/872573352514392064
;2017-06-07 16:54;2;5;"Follow my #DearPete series, where I document personal responses to constituents, here and on @instagram at http://www. instagram.com/rep.peteaguilar";;@instagram;#DearPete;"872572533861740544";https://twitter.com/RepPeteAguilar/status/872572533861740544
;2017-06-07 16:50;21;48;"Valerie, rest assured that I will continue to fight for an independent commission to investigate the #Trump - Russia connection. #DearPete pic.twitter.com/pmPr2bWo2n";;;#Trump #DearPete;"872571499575738369";https://twitter.com/RepPeteAguilar/status/872571499575738369
;2017-06-06 13:55;3;12;"Today we honor the thousands of American & Allied troops who stormed Normandy in the fight against tyranny & in the name of freedom. #DDay";;;#DDay;"872165045219807233";https://twitter.com/RepPeteAguilar/status/872165045219807233
;2017-06-03 12:33;5;22;"Grateful for the opportunity to tour one of the Inland Empire's local manufacturers, Steelscape, and to meet with its hard-working team. pic.twitter.com/v8ge5LQLx9";;;;"871057320570216448";https://twitter.com/RepPeteAguilar/status/871057320570216448
;2017-06-01 14:56;17;46;"Leaving the #ParisAccord will have devastating effects on our economy, planet & future. @POTUS 's decision will unravel years of progress.";;@POTUS;#ParisAccord;"870368510307950593";https://twitter.com/RepPeteAguilar/status/870368510307950593
;2017-05-31 12:41;6;15;"Continued my Job For A Day Tour at @GoodwillSoCal . Big thanks to the Goodwill team for all you do for #CA31 & for letting me stop by! pic.twitter.com/mN72bQZtpo";;@GoodwillSoCal;#CA31;"869972066811904000";https://twitter.com/RepPeteAguilar/status/869972066811904000
;2017-05-30 22:22;11;38;"Congrats to these brave young men and women who will represent the #InlandEmpire at US Service Academies in the fall! pic.twitter.com/JdNb6yeOAX";;;#InlandEmpire;"869756007676870657";https://twitter.com/RepPeteAguilar/status/869756007676870657
;2017-05-30 14:27;3;12;"TY to our local school superintendents for participating in my Education Roundtable to discuss how we can better support #CA31 schools. pic.twitter.com/MbYiLgnU4O";;;#CA31;"869636421073739776";https://twitter.com/RepPeteAguilar/status/869636421073739776
;2017-05-29 20:48;1;18;"Honored to speak at the VFW Post 8737 #MemorialDay Ceremony and join #InlandEmpire veterans to pay tribute to our fallen heroes. pic.twitter.com/rpwWI0CBr4";;;#MemorialDay #InlandEmpire;"869369776468000769";https://twitter.com/RepPeteAguilar/status/869369776468000769
;2017-05-29 09:34;7;36;"We honor our fallen heroes who gave the ultimate sacrifice defending our liberty & stand w/ their families in remembrance this #MemorialDay .";;;#MemorialDay;"869200199650070529";https://twitter.com/RepPeteAguilar/status/869200199650070529
;2017-05-26 14:29;4;4;"Follow the link to my website to participate in a survey to share your experience at the Loma Linda VA. http:// bit.ly/2r4H9Hq (2/2)";;;;"868187350374985728";https://twitter.com/RepPeteAguilar/status/868187350374985728
;2017-05-26 14:28;3;5;"Our veterans deserve the best care we can provide, so it’s important to me that we have an open dialogue. (1/2)";;;;"868187206980169728";https://twitter.com/RepPeteAguilar/status/868187206980169728
;2017-05-25 14:34;5;12;"#InlandEmpire children and seniors will be forced to pay the price for Republicans’ political games. #Trumpcare https:// twitter.com/EnergyCommerce /status/867492289064701952 …";;;#InlandEmpire #Trumpcare;"867826260755402752";https://twitter.com/RepPeteAguilar/status/867826260755402752
;2017-05-25 14:29;0;1;"Head over to my @instagram to follow along. #DearPete http://www. instagram.com/rep.peteaguila r/ … https:// twitter.com/RepPeteAguilar /status/867824851787972608 …";;@instagram;#DearPete;"867825079710658561";https://twitter.com/RepPeteAguilar/status/867825079710658561
;2017-05-25 14:29;1;9;"This week's #DearPete was to Kalaya, responding to her note about keeping our beaches clean and protecting the environment. pic.twitter.com/ngT4eeRLna";;;#DearPete;"867824851787972608";https://twitter.com/RepPeteAguilar/status/867824851787972608
;2017-05-25 13:56;5;21;"Encouraged to see the 4th Circuit Court of Appeals uphold the lower court’s ruling that @POTUS ’s #MuslimBan is unconstitutional. https:// twitter.com/latimes/status /867809192651960320 …";;@POTUS;#MuslimBan;"867816712594313216";https://twitter.com/RepPeteAguilar/status/867816712594313216
;2017-05-24 17:13;19;29;"This new analysis confirms what we feared: #Trumpcare isn’t a health care bill at all. My full statement here: http:// bit.ly/2qhHFQT https:// twitter.com/washingtonpost /status/867480332827672576 …";;;#Trumpcare;"867503961997234177";https://twitter.com/RepPeteAguilar/status/867503961997234177
;2017-05-24 12:45;3;8;"This is about helping our heroes find jobs. I look forward to working with my colleagues to see this bill through. http:// bit.ly/2qPUiFD";;;;"867436391508176908";https://twitter.com/RepPeteAguilar/status/867436391508176908
;2017-05-23 16:38;12;21;". @POTUS 's "budget" is a collection of cuts to every federal program that supports Inland Empire working families. http:// bit.ly/2q8MZdg";;@POTUS;;"867132689677209601";https://twitter.com/RepPeteAguilar/status/867132689677209601
;2017-05-23 10:29;15;39;"My heart goes out to those affected by this barbaric act of violence. #SanBernardino stands with #Manchester during this difficult time. https:// twitter.com/latimes/status /866900828048805889 …";;;#SanBernardino #Manchester;"867039801844916224";https://twitter.com/RepPeteAguilar/status/867039801844916224
;2017-05-17 16:29;11;32;"We need an independent commission to investigate #Trump -Russia connection & possible collusion. Glad to lend my support to this petition. https:// twitter.com/RepSwalwell/st atus/864949098645946368 …";;;#Trump;"864956114466680832";https://twitter.com/RepPeteAguilar/status/864956114466680832
;2017-05-16 18:09;27;72;"We need an independent investigation and special prosecutor. Now. (2/2) https:// twitter.com/RepPeteAguilar /status/864618755984429060 …";;;;"864618828373929985";https://twitter.com/RepPeteAguilar/status/864618828373929985
;2017-05-16 18:09;9;22;"If @POTUS asked Comey to end FBI investigation into Flynn, that is potentially obstruction of justice. http:// nyti.ms/2pHKU82 (1/2)";;@POTUS;;"864618755984429060";https://twitter.com/RepPeteAguilar/status/864618755984429060
;2017-05-15 15:19;3;17;"Today we paused to honor those who gave their lives in service of others. Forever grateful for the #IE law enforcement community. #NPW2017 https:// twitter.com/sbcountysherif f/status/864208570161610753 …";;;#IE #NPW2017;"864213563518464001";https://twitter.com/RepPeteAguilar/status/864213563518464001
;2017-05-15 09:46;3;22;"I was honored to speak at the Colton Center for Employment Training graduation! Proud of these grads who will help rebuild the #IE economy. pic.twitter.com/5JPqqqih4X";;;#IE;"864129794128171008";https://twitter.com/RepPeteAguilar/status/864129794128171008
;2017-05-14 14:01;7;28;"Thanks to everyone who came out to Coffee With Your Congressman! One on one conversations like these help me represent the #IE in DC. pic.twitter.com/sT7AmCuy2j";;;#IE;"863831663612231681";https://twitter.com/RepPeteAguilar/status/863831663612231681
;2017-05-12 17:45;1;33;"For many in the #IE , Pell Grants make college an affordable reality. Thanks to all who joined me at CSUSB today to discuss grant funding. pic.twitter.com/azlp1grQ56";;;#IE;"863163168402665477";https://twitter.com/RepPeteAguilar/status/863163168402665477
;2017-05-12 12:41;1;11;"Appreciated the chance to tour H&L Charter in Rancho Cucamonga yesterday and hear about some of the challenges facing #CA31 businesses. pic.twitter.com/y6yaMH2lJr";;;#CA31;"863086760569573376";https://twitter.com/RepPeteAguilar/status/863086760569573376
;2017-05-11 17:13;1;16;"Connecting #IE vets with resources in the community is one of my top priorities. Thanks to all who attended the Hire a Vet Job Fair today! pic.twitter.com/JHuyd6jUve";;;#IE;"862792721441972225";https://twitter.com/RepPeteAguilar/status/862792721441972225
;2017-05-11 16:21;14;32;"Today I announced over $3 million in funding to help CSUSB become a national leader in #Cybersecurity . More here: https:// aguilar.house.gov/media-center/p ress-releases/aguilar-announces-over-3-million-cybersecurity-funding-csusb …";;;#Cybersecurity;"862779642046017541";https://twitter.com/RepPeteAguilar/status/862779642046017541
;2017-05-10 16:19;14;50;"I continue to be inspired by the amount of mail I receive from #InlandEmpire residents opposed to @POTUS 's agenda. Keep writing. #DearPete pic.twitter.com/jkJTNqWk4v";;@POTUS;#InlandEmpire #DearPete;"862416888827195392";https://twitter.com/RepPeteAguilar/status/862416888827195392
;2017-05-09 20:26;95;231;"Enough is enough. We need a special prosecutor NOW. I'm not a Comey fan, but his firing is during an ongoing investigation is unacceptable.";;;;"862116652460257280";https://twitter.com/RepPeteAguilar/status/862116652460257280
;2017-05-09 17:10;10;21;"Today is #TeacherAppreciationDay ! Today we say thanks to all of the educators who impact our lives and show us our potential. #ThankATeacher";;;#TeacherAppreciationDay #ThankATeacher;"862067303273332737";https://twitter.com/RepPeteAguilar/status/862067303273332737
;2017-05-09 14:30;3;12;"An honest, open dialogue helps me best represent the #InlandEmpire community. Read my Op-Ed in the @sbsun here: http://www. sbsun.com/opinion/201705 05/its-important-to-continue-dialogue-with-constituents-pete-aguilar …";;@sbsun;#InlandEmpire;"862027020653522944";https://twitter.com/RepPeteAguilar/status/862027020653522944
;2017-05-08 14:20;3;14;"Thanks to everyone who attended my Spring Academy Day. I'm always impressed by the desire of #InlandEmpire students to serve and lead. pic.twitter.com/PwWEN93dHW";;;#InlandEmpire;"861662119065997312";https://twitter.com/RepPeteAguilar/status/861662119065997312
;2017-05-04 14:59;24;49;"#Trumpcare is a heartless policy. @POTUS and @HouseGOP should be ashamed of themselves. My full statement here: http:// bit.ly/2pdSvHb";;@POTUS @HouseGOP;#Trumpcare;"860222460700098560";https://twitter.com/RepPeteAguilar/status/860222460700098560
;2017-05-04 10:20;26;36;"You are gambling with American lives just so you can score political points. 24 million will lose coverage. #Shame #TrumpCare https:// twitter.com/HouseGOP/statu s/860132407512625152 …";;;#Shame #TrumpCare;"860152194598916097";https://twitter.com/RepPeteAguilar/status/860152194598916097
;2017-05-04 10:16;38;60;"#TrumpCare punishes Americans with pre-existing conditions by increasing their premiums, deductibles & wait periods for coverage. #shame";;;#TrumpCare #shame;"860151143816716288";https://twitter.com/RepPeteAguilar/status/860151143816716288
;2017-05-04 10:15;28;45;"#TrumpCare will strip 24 million Americans of coverage and send us back to the days when insurance companies held all the cards.";;;#TrumpCare;"860150897149661186";https://twitter.com/RepPeteAguilar/status/860150897149661186
