username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:16;44;67;"I'm incredibly grateful for the bravery shown by US Capitol police everyday. Prayers for the officers involved in this morning's shooting.";;;;"874963830262177792";https://twitter.com/RepTipton/status/874963830262177792
;2017-06-14 07:02;13;18;"Praying for the safety of all of my colleagues who were at baseball practice this morning.";;;;"874960114247237632";https://twitter.com/RepTipton/status/874960114247237632
;2017-06-13 13:43;0;2;"Make sure to stay updated on road closures and evacuation notices. https:// twitter.com/Matt_Kroschel/ status/874690764571262976 …";;;;"874698828506705921";https://twitter.com/RepTipton/status/874698828506705921
;2017-06-12 11:36;0;1;"Salvage harvesting is a win-win for #forests & rural communities. More on last week's @NatResources hearing: http:// bit.ly/2sUFiFC";;@NatResources;#forests;"874304503570452481";https://twitter.com/RepTipton/status/874304503570452481
;2017-06-12 09:08;1;2;"Appreciated the chance to visit w/ members of the Grand Junction Area Realtors Association last week & share good news about the #CHOICEact ! pic.twitter.com/7iVqOb7Ts8";;;#CHOICEact;"874267100990328834";https://twitter.com/RepTipton/status/874267100990328834
;2017-06-09 10:50;2;7;"Planning on hiking in #Colorado this summer? Check out @COParksWildlife 's interactive trail map here: http:// cpw.state.co.us/cts";;@COParksWildlife;#Colorado;"873205627811753984";https://twitter.com/RepTipton/status/873205627811753984
;2017-06-08 15:54;2;3;"We are one step closer to ending too-big-to-fail once and for all. My full statement on the passage of #CHOICEact : http:// bit.ly/2r0HAl1";;;#CHOICEact;"872919904911073281";https://twitter.com/RepTipton/status/872919904911073281
;2017-06-08 14:39;21;57;"I'm encouraged by @SecretaryZinke 's commitment to engaging states and local communities in sage grouse preservation efforts. https:// twitter.com/westerncaucus/ status/872891298356875264 …";;@SecretaryZinke;;"872900878969315329";https://twitter.com/RepTipton/status/872900878969315329
;2017-06-08 10:42;3;4;"I'm talking to @GrayDCnews about why it's so important we pass the #CHOICEact . We must grow jobs & accelerate economic growth. pic.twitter.com/oPmuTX8HZL";;@GrayDCnews;#CHOICEact;"872841197643018240";https://twitter.com/RepTipton/status/872841197643018240
;2017-06-08 08:50;1;6;"Today I'm voting to end too-big-to-fail once & for all & to lift the U.S. out of the slowest economic recovery in 70 years. #CHOICEact";;;#CHOICEact;"872813135316516864";https://twitter.com/RepTipton/status/872813135316516864
;2017-06-08 08:32;3;5;"Congrats to Judge Allison Eid on being nominated to fill the vacancy in the Tenth Circuit Court! Great pick to fill Justice Gorsuch's seat.";;;;"872808429768908801";https://twitter.com/RepTipton/status/872808429768908801
;2017-06-06 15:18;3;4;"If you're hearing a lot about Dodd-Frank this week and wondering Dodd-who? This is for you: http:// bit.ly/2qYC2eY pic.twitter.com/Aq70zNSa0L";;;;"872185897889955840";https://twitter.com/RepTipton/status/872185897889955840
;2017-06-06 09:40;0;3;"I have full confidence in your courage, devotion to duty and skill in battle. We will accept nothing less than full Victory -Gen. Eisenhower";;;;"872100953675227137";https://twitter.com/RepTipton/status/872100953675227137
;2017-06-06 08:41;4;3;"David Bernhardt is an excellent choice for DepSec. It will be great to see a native of CO03 at @Interior . https:// twitter.com/westerncaucus/ status/872082096445063170 …";;@Interior;;"872085960556728320";https://twitter.com/RepTipton/status/872085960556728320
;2017-06-05 10:32;3;3;"This is exactly why I introduced the #TAILORact , which is included in the #CHOICEAct https:// twitter.com/SpeakerRyan/st atus/871736507803070465 …";;;#TAILORact #CHOICEAct;"871751516155252736";https://twitter.com/RepTipton/status/871751516155252736
;2017-06-03 18:51;1;11;"Devastating news coming out of London. The U.S. stands with the U.K. #PrayForLondon";;;#PrayForLondon;"871152459560869888";https://twitter.com/RepTipton/status/871152459560869888
;2017-05-30 09:36;1;5;"Last week marked the 75th anniversary of the @PCDPueblo . I applaud Col. Duncan for his leadership & all employees for their work. pic.twitter.com/QQf1aIRbSi";;@PCDPueblo;;"869563077993385987";https://twitter.com/RepTipton/status/869563077993385987
;2017-05-29 07:00;1;8;"Since our founding, we have relied on brave men and women to answer the call of duty and defend our nation. #MemorialDay2017 pic.twitter.com/G7XOfqLomA";;;#MemorialDay2017;"869161403114037248";https://twitter.com/RepTipton/status/869161403114037248
;2017-05-25 12:38;1;2;"Thanks for inviting me! https:// twitter.com/club20westslop e/status/867755202253815808 …";;;;"867797069079220225";https://twitter.com/RepTipton/status/867797069079220225
;2017-05-24 10:49;3;13;"It's great to have Hunter Gross from Grand Junction join my team for the Foster Youth Caucus's shadow day! #FosterYouthVoices pic.twitter.com/R5ClnakgQf";;;#FosterYouthVoices;"867407177396387840";https://twitter.com/RepTipton/status/867407177396387840
;2017-05-23 15:14;20;48;"Today @SenCoryGardner & I sent a letter to @Interior urging no change to Canyons of the Ancients national monument: http:// bit.ly/2qhn1Q2 pic.twitter.com/WqJ43Fmy4V";;@SenCoryGardner @Interior;;"867111526381088768";https://twitter.com/RepTipton/status/867111526381088768
;2017-05-23 12:11;2;2;"As terrorist groups continue to perpetrate evil acts, we must prioritize funding for national defense. My full stmt: http:// bit.ly/2qStAe4";;;;"867065547531399168";https://twitter.com/RepTipton/status/867065547531399168
;2017-05-22 19:19;1;10;"My thoughts and prayers are with everyone in Manchester.";;;;"866810863617028097";https://twitter.com/RepTipton/status/866810863617028097
;2017-05-20 09:12;4;5;"Forest management and water rights were the focus of hearings in @NatResources this week. My take on the issues: http:// bit.ly/2q1KNjT";;@NatResources;;"865933130821115904";https://twitter.com/RepTipton/status/865933130821115904
;2017-05-19 13:43;2;3;"We must empower states to work w/ the USFS to make forest management decisions in high-risk areas. Read more: http:// bit.ly/2q1KNjT pic.twitter.com/CiVMFR9P3R";;;;"865638942896381957";https://twitter.com/RepTipton/status/865638942896381957
;2017-05-19 08:56;2;7;"I'm working to protect public lands from catastrophic wildfires @AltForestServ . Sounds like you're working to spread misinformation. https:// twitter.com/AltForestServ/ status/865562794665459712 …";;@AltForestServ;;"865566724229406720";https://twitter.com/RepTipton/status/865566724229406720
;2017-05-18 09:03;8;6;"Water is the most precious resource in the West, and today we're discussing my bill to protect it from federal takings. https:// twitter.com/NatResources/s tatus/865205527491620864 …";;;;"865206171111751680";https://twitter.com/RepTipton/status/865206171111751680
;2017-05-18 09:00;5;3;"This morning I'm talking water rights in @NatResources . Watch live: http:// naturalresources.house.gov/live/";;@NatResources;;"865205454447816704";https://twitter.com/RepTipton/status/865205454447816704
;2017-05-17 08:31;1;1;"I'm incredibly grateful for the men and women who work every day to keep our families and our communities safe. #PoliceWeek2017 pic.twitter.com/aI6OFG33UK";;;#PoliceWeek2017;"864835867952775168";https://twitter.com/RepTipton/status/864835867952775168
;2017-05-16 15:40;293;462;"Congrats to @CHS1876 student Tiona Cordova for taking 1st in the 3rd District Congressional Art Competition with "Utmost Appreciation" pic.twitter.com/k2jIi4MWpq";;@CHS1876;;"864581437999206400";https://twitter.com/RepTipton/status/864581437999206400
;2017-05-09 09:04;2;2;"It takes a big heart to shape little minds. Have you thanked a teacher today? #ThankATeacherCO #TeacherAppreciation2017 pic.twitter.com/PLDqz4SJMK";;;#ThankATeacherCO #TeacherAppreciation2017;"861945054658576385";https://twitter.com/RepTipton/status/861945054658576385
;2017-05-05 09:44;4;6;"Do you want to know how the #AHCA protects people with pre-existing conditions? My column tells you: http:// bit.ly/2pO5G4P";;;#AHCA;"860505564530569217";https://twitter.com/RepTipton/status/860505564530569217
;2017-05-04 15:19;5;7;"Read my full statement in support of today's vote on the #AHCA : http:// bit.ly/2pEve3R pic.twitter.com/FZHI1f4jZ3";;;#AHCA;"860227452450328576";https://twitter.com/RepTipton/status/860227452450328576
;2017-05-04 13:26;10;22;"Today I voted to advance the promise I made to my constituents to drive down the cost of health insurance & bring choice to the market. https:// twitter.com/HouseGOP/statu s/860197088201773058 …";;;;"860198894927564804";https://twitter.com/RepTipton/status/860198894927564804
;2017-05-04 08:10;4;11;"On #InternationalFirefightersDay I want to thank the men and women who work every day to keep our families and communities safe.";;;#InternationalFirefightersDay;"860119404989775872";https://twitter.com/RepTipton/status/860119404989775872
;2017-05-03 07:53;3;2;"Looking forward to talking about the important of tailoring regulations to fit the business model & risk profile of banks. https:// twitter.com/FinancialCmte/ status/859746005151096832 …";;;;"859752768428548096";https://twitter.com/RepTipton/status/859752768428548096
;2017-05-01 11:53;0;6;"I'm sad to hear about the passing of Ray Kogovsek, a friend and lifelong advocate for the 3rd District. My thoughts are w/ Ray's family.";;;;"859088314695135232";https://twitter.com/RepTipton/status/859088314695135232
;2017-04-29 12:24;1;6;"#SmallBizWeek kicks-off tomorrow. Did you know #SmallBiz accounts for 49% of private workforce in CO? http:// bit.ly/2pGuGvn";;;#SmallBizWeek #SmallBiz;"858371300716195840";https://twitter.com/RepTipton/status/858371300716195840
