username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:51;15;25;"My thoughts and prayers are with Capitol Police, my Congressional colleagues, staff members, and all impacted by this morning's shooting.";;;;"874987574472953858";https://twitter.com/RepVisclosky/status/874987574472953858
;2017-05-24 10:17;1;5;"Thank you to all who participated in last week’s Military Academy Night. Click here for more info on how to apply: http:// bit.ly/2qWnUQ1 pic.twitter.com/pBpX94LoBW";;;;"867399131857379328";https://twitter.com/RepVisclosky/status/867399131857379328
;2017-05-08 12:38;5;20;"Pleased to announce the promotion of several staff members of the DC office who have ties to Northwest Indiana. http:// bit.ly/2pUxq7n pic.twitter.com/GrebNruipE";;;;"861636446914056192";https://twitter.com/RepVisclosky/status/861636446914056192
;2017-05-04 11:12;91;239;"The purpose of government is to protect people, not hurt them. I remain opposed to Republican health care legislation. #VoteNoAHCA";;;#VoteNoAHCA;"860165255854522368";https://twitter.com/RepVisclosky/status/860165255854522368
;2017-05-03 15:52;3;7;"I encourage all students interested in attending a U.S. military academy to attend the 2017 Military Academy Night: http:// visclosky.house.gov/serving-you/mi litary-academy-nominations … pic.twitter.com/7E70McO13N";;;;"859873207775571969";https://twitter.com/RepVisclosky/status/859873207775571969
;2017-05-02 09:24;7;21;"Proud that the future USS Indiana will carry forward both our brave sailors and the name of our great state. #IndianaChristening pic.twitter.com/LngKnyMz4i";;;#IndianaChristening;"859413204539256832";https://twitter.com/RepVisclosky/status/859413204539256832
;2017-04-28 10:21;3;9;"This #WorkersMemorialDay , I thank all @steelworkers and manufacturing companies for rededicating themselves to prioritize safety every day. pic.twitter.com/oqeLJYkT6E";;@steelworkers;#WorkersMemorialDay;"857977996296192000";https://twitter.com/RepVisclosky/status/857977996296192000
;2017-04-19 09:46;0;2;"Appreciate the outstanding work of all of the organizers and participants in last week’s World Civility Day. #CivilityCounts pic.twitter.com/t8zFZ8TVqi";;;#CivilityCounts;"854707865013149696";https://twitter.com/RepVisclosky/status/854707865013149696
;2017-04-18 12:33;1;6;"Greatly enjoyed touring @AllisonTrans facilities last week. I thank you for all of your great work to support American manufacturing. pic.twitter.com/fU4eqScPIv";;@AllisonTrans;;"854387368094203904";https://twitter.com/RepVisclosky/status/854387368094203904
;2017-04-17 12:11;4;6;"Honored to attend a celebration for the recently formed State of Indiana National Guard Partnership with the Republic of Niger. @INGuardsman pic.twitter.com/Q1ow0akmFU";;@INGuardsman;;"854019458066776064";https://twitter.com/RepVisclosky/status/854019458066776064
;2017-04-14 14:17;1;14;"Proud to speak this week at the 14th Biannual Nuclear Triad and Advanced Conventional Strike Symposium at @NAVSEACrane . pic.twitter.com/kChEjXzXQN";;@NAVSEACrane;;"852964090528112641";https://twitter.com/RepVisclosky/status/852964090528112641
;2017-04-05 15:00;10;39;"Proud to support the Paycheck Fairness Act because women deserve equal pay for the work they do. http:// ampr.gs/2n6ZzbA";;;;"849713470803193858";https://twitter.com/RepVisclosky/status/849713470803193858
;2017-04-03 11:52;1;3;"Click below for all the information on the 2017 Congressional Art Competition: http:// bit.ly/1QE3fHk #CAC2017 #CongressionalArtCompetition pic.twitter.com/7ZYpQkd5hl";;;#CAC2017 #CongressionalArtCompetition;"848941245296758785";https://twitter.com/RepVisclosky/status/848941245296758785
;2017-03-31 08:46;0;6;"Appreciate the time of all of the panelists and attendees for being a part of this informative discussion. http:// bit.ly/2nqW63F https:// twitter.com/TheNSWG/status /842738873147035648 …";;;;"847807316170858496";https://twitter.com/RepVisclosky/status/847807316170858496
;2017-03-30 12:21;1;13;"It was great to meet this week with Hammond High School JROTC Students on the steps of the U.S. Capitol building. pic.twitter.com/fJfgZKxN7h";;;;"847499053776687104";https://twitter.com/RepVisclosky/status/847499053776687104
;2017-03-24 10:25;5;21;"You can also read my full statement on #AHCA on my website: http:// visclosky.house.gov/media-center/p ress-releases/visclosky-speaks-in-opposition-to-the-american-health-care-act …";;;#AHCA;"845295431068389376";https://twitter.com/RepVisclosky/status/845295431068389376
;2017-03-24 10:12;9;44;"#AHCA does not improve the well-being of Americans. You can watch my full speech in opposition to the bill here: https://www. c-span.org/video/?c466323 6/rep-visclosky-opposes-ahca …";;;#AHCA;"845292191627034624";https://twitter.com/RepVisclosky/status/845292191627034624
;2017-03-24 08:44;6;45;"I will be speaking in opposition to the #AHCA on the House floor shortly. You can watch it live on @cspan : http://www. c-span.org .";;@cspan;#AHCA;"845270050122682369";https://twitter.com/RepVisclosky/status/845270050122682369
;2017-03-23 16:28;16;95;"#AHCA is a bad deal for patients and providers. I will oppose this legislation.";;;#AHCA;"845024509841301504";https://twitter.com/RepVisclosky/status/845024509841301504
;2017-03-23 16:25;9;34;"Thanks to the #ACA , 19 million people now have health insurance. GOP repeal bill would drop 24 million from their insurance plans.";;;#ACA;"845023793160556547";https://twitter.com/RepVisclosky/status/845023793160556547
;2017-03-22 15:02;2;11;"Great to meet with @ArcelorMittalUS Plate Products as part of @ACIBC #ActionDays2017 . 50k tons of steel in each CVN!";;@ArcelorMittalUS @ACIBC;#ActionDays2017;"844640481938198528";https://twitter.com/RepVisclosky/status/844640481938198528
;2017-03-13 11:34;1;11;"Had a great time recently touring the Edsal Manufacturing - Amazon warehouse in Gary. Appreciate their commitment to creating jobs in NWI. pic.twitter.com/k9czMUEh2H";;;;"841326673106751493";https://twitter.com/RepVisclosky/status/841326673106751493
;2017-03-09 14:31;11;27;"I deeply regret that this revised order remains fundamentally inconsistent with our country’s value of inclusivity. http:// wapo.st/2n4EMou";;;;"839936716035227648";https://twitter.com/RepVisclosky/status/839936716035227648
;2017-03-08 13:39;9;22;"I am very concerned about the possible negative consequences this legislation will have on the citizens of NWI. http:// nyti.ms/2mGVPfK";;;;"839561324279517184";https://twitter.com/RepVisclosky/status/839561324279517184
;2017-03-07 09:28;1;9;"This Women’s History Month, I encourage you to explore the remarkable legacies and stories of American women at http:// womenshistorymonth.gov .";;;;"839135781956554752";https://twitter.com/RepVisclosky/status/839135781956554752
