username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:42;5;16;"Praying for @SteveScalise and others shot @baseball practice. There are too many damn guns in America!";;@SteveScalise @baseball;;"874970371275071488";https://twitter.com/RepWilson/status/874970371275071488
;2017-06-13 15:45;2;5;"Tomorrow is Wear Something Red Wednesday! @HouseGOP & #HouseDemocrats , please #JoinRepWilson in Rayburn Room after first votes seres! #BBOG pic.twitter.com/2fI81kncCh";;@HouseGOP;#HouseDemocrats #JoinRepWilson #BBOG;"874729459299098624";https://twitter.com/RepWilson/status/874729459299098624
;2017-06-13 15:41;2;13;"#JeffSessions says @SenKamalaHarris is making him nervous! #SessionsHearing";;@SenKamalaHarris;#JeffSessions #SessionsHearing;"874728405949960192";https://twitter.com/RepWilson/status/874728405949960192
;2017-06-12 14:15;12;18;"Today I remember and mourn the 49 lives cut short one year ago at Pulse nightclub and continue to fight for gun control. #OrlandoUnitedDay pic.twitter.com/1ry1eZKTQ8";;;#OrlandoUnitedDay;"874344306475016192";https://twitter.com/RepWilson/status/874344306475016192
;2017-06-12 12:54;9;27;"Congratulations to @AprilDRyan for being named @NABJ Journalist of the Year, and oh, what a year it's been for you. #SoProud !";;@AprilDRyan @NABJ;#SoProud;"874324076692688905";https://twitter.com/RepWilson/status/874324076692688905
;2017-06-12 04:07;2;4;"Long overdue!!";;;;"874191294259757056";https://twitter.com/RepWilson/status/874191294259757056
;2017-06-09 16:08;1;5;"pic.twitter.com/kRezg3IIx5";;;;"873285706780749824";https://twitter.com/RepWilson/status/873285706780749824
;2017-06-08 17:40;2;7;"I am saddened to learn of the death of @Morehouse interim president Wm. Taggart. Thoughts & prayers for his family & university community.";;@Morehouse;;"872946553098559489";https://twitter.com/RepWilson/status/872946553098559489
;2017-06-08 16:56;4;6;"In just a few days we will be able to read the US government's plan to address #BokoHaram . #BBOG @BukkyShonibare @obyezeks";;@BukkyShonibare @obyezeks;#BokoHaram #BBOG;"872935372891803649";https://twitter.com/RepWilson/status/872935372891803649
;2017-06-08 16:50;3;3;"Here's what I thought about what we heard from #JamesComey today: http:// wilson.house.gov/media-center/p ress-releases/congresswoman-frederica-s-wilson-s-statement-on-former-fbi-director …";;;#JamesComey;"872934004353355780";https://twitter.com/RepWilson/status/872934004353355780
;2017-06-08 09:39;2;6;"#JamesComey says he didn't trust @realDonaldTrump to truthfully recall their mtgs and felt he'd need a record to protect FBI & integrity.";;@realDonaldTrump;#JamesComey;"872825296692666369";https://twitter.com/RepWilson/status/872825296692666369
;2017-06-08 09:31;0;4;"And give those private interests the freedom to charge travelers even higher fees! https:// twitter.com/TransportDems/ status/872822876478558208 …";;;;"872823321305460737";https://twitter.com/RepWilson/status/872823321305460737
;2017-06-07 16:39;0;5;"It was a great visit! https:// twitter.com/5000RoleModels /status/866954607276290049 …";;;;"872568786305642496";https://twitter.com/RepWilson/status/872568786305642496
;2017-06-07 16:39;0;4;"It was an honor to have you here in Washington. https:// twitter.com/5000RoleModels /status/867039299090468864 …";;;;"872568692722348033";https://twitter.com/RepWilson/status/872568692722348033
;2017-06-07 16:35;1;5;"Bonne chance! https:// twitter.com/5000RoleModels /status/872118953891557377 …";;;;"872567596377399296";https://twitter.com/RepWilson/status/872567596377399296
;2017-06-07 16:32;0;6;"Another generation of wonderful role models in the making. I can't wait to see the places you'll go! https:// twitter.com/5000RoleModels /status/872542851367874561 …";;;;"872567050874626048";https://twitter.com/RepWilson/status/872567050874626048
;2017-06-07 16:31;1;8;"Yes, you are, and I cannot wait to see all that you achieve! https:// twitter.com/5000RoleModels /status/872495203042676737 …";;;;"872566765087272961";https://twitter.com/RepWilson/status/872566765087272961
;2017-06-07 16:31;0;4;"The future is yours. Go forth and be great! https:// twitter.com/5000RoleModels /status/872177441783115776 …";;;;"872566592256847873";https://twitter.com/RepWilson/status/872566592256847873
;2017-06-07 16:29;2;5;"Thanks for fighting to #BringBackOurGirls ! @RepLoisFrankel @RepTerriSewell @JimLangevin @RepAdams @RepGwenMoore @RepMcEachin pic.twitter.com/rZfJKvTzZj";;@RepLoisFrankel @RepTerriSewell @JimLangevin @RepAdams @RepGwenMoore @RepMcEachin;#BringBackOurGirls;"872566134612127747";https://twitter.com/RepWilson/status/872566134612127747
;2017-06-07 16:18;6;10;"Thank you @JacksonLeeTX18 for never missing an opportunity to show your support for the #ChibokGirls ! pic.twitter.com/f5MQc9HEg9";;@JacksonLeeTX18;#ChibokGirls;"872563524144435203";https://twitter.com/RepWilson/status/872563524144435203
;2017-06-07 16:17;0;5;"I can always count on @RepLoisFrankel to stand up for the #ChibokGirls ! #BBOG pic.twitter.com/zt69K7d3BX";;@RepLoisFrankel;#ChibokGirls #BBOG;"872563147802071041";https://twitter.com/RepWilson/status/872563147802071041
;2017-06-07 16:16;5;5;"Shows of support like this help the #ChibokGirls familes and friends keep faith that we will #BringBackOurGirls ! @JimLangevin @NancyPelosi pic.twitter.com/IoyGbfYN1a";;@JimLangevin @NancyPelosi;#ChibokGirls #BringBackOurGirls;"872562916180074496";https://twitter.com/RepWilson/status/872562916180074496
;2017-06-07 12:03;0;6;"Proud to have freshmen from @5000RoleModels visit D.C. Thanks @NancyPelosi for helping me welcome these young men! http://www. miamitimesonline.com/education/role -models-in-washington-d-c/article_6879781c-4b8c-11e7-a281-437d537f8f85.html … pic.twitter.com/3S6C9kngyJ";;@5000RoleModels @NancyPelosi;;"872499173559554049";https://twitter.com/RepWilson/status/872499173559554049
;2017-06-07 11:58;3;7;"It's Wear Something Red Wednesday! @HouseGOP @HouseDemocrats #JoinRepWilson ! pic.twitter.com/0zepqCNkpO";;@HouseGOP @HouseDemocrats;#JoinRepWilson;"872497963490316288";https://twitter.com/RepWilson/status/872497963490316288
;2017-06-06 16:33;8;8;"Tomorrow is Wear Something Red Wednesday! Please show your support for the #ChibokGirls and tweet, tweet, tweet! pic.twitter.com/qowTqUvwNd";;;#ChibokGirls;"872204728188362754";https://twitter.com/RepWilson/status/872204728188362754
;2017-06-06 00:27;6;12;"Bring back our girls NOW!!!";;;;"871961707677143040";https://twitter.com/RepWilson/status/871961707677143040
;2017-06-05 15:50;3;15;"Republicans' #ATC privatization proposal will give a private corporation the power to tax the American public. #DontPrivatizeOurSkies pic.twitter.com/uite2udRVr";;;#ATC #DontPrivatizeOurSkies;"871831493651443715";https://twitter.com/RepWilson/status/871831493651443715
;2017-06-05 15:11;23;40;"pic.twitter.com/tX0UR6CQ7H";;;;"871821860509450241";https://twitter.com/RepWilson/status/871821860509450241
;2017-06-05 12:07;0;0;"I'll see you in Hawaii very soon @RepHanabusa ! #MIA2HNL #BBOG";;@RepHanabusa;#MIA2HNL #BBOG;"871775559151472641";https://twitter.com/RepWilson/status/871775559151472641
;2017-06-04 18:32;2;7;"pic.twitter.com/V5JzRSWb06";;;;"871510101391290368";https://twitter.com/RepWilson/status/871510101391290368
;2017-06-04 18:27;2;6;"Heartfelt prayers and sympathies to both victims and survivors of the #LondonAttacks !";;;#LondonAttacks;"871508807754665984";https://twitter.com/RepWilson/status/871508807754665984
;2017-06-04 14:22;1;4;"President Obama look forward to seeing you real soon. Miss you!!";;;;"871447196901703681";https://twitter.com/RepWilson/status/871447196901703681
;2017-06-04 13:44;1;6;"Good job Phaedra Continue positive great work";;;;"871437400739913730";https://twitter.com/RepWilson/status/871437400739913730
;2017-06-02 15:29;4;6;"There are too many damn guns in America! https:// twitter.com/RepWilson/stat us/870686202109673476 …";;;;"870739191281352705";https://twitter.com/RepWilson/status/870739191281352705
;2017-06-02 11:59;3;3;"#WearOrange today in memory of all of the children we've lost to gun violence. There are too many guns in America! pic.twitter.com/G7BclrlglS";;;#WearOrange;"870686202109673476";https://twitter.com/RepWilson/status/870686202109673476
;2017-06-02 11:46;1;2;"Instead of making America great again, with #ParisAccord pullout, @realDonaldTrump is helping China replace US as leader on climate change.";;@realDonaldTrump;#ParisAccord;"870683047812661250";https://twitter.com/RepWilson/status/870683047812661250
;2017-06-02 11:11;1;1;"Good news: @Secy_State_US will present the dept's #BokoHaram strategy by 6/12, per the bill @SenatorCollins & I sponsored that is now law.";;@Secy_State_US @SenatorCollins;#BokoHaram;"870674260502753280";https://twitter.com/RepWilson/status/870674260502753280
;2017-06-02 08:03;2;8;"Congratulations! Be proud of yourselves today and forever!!!!! https:// twitter.com/mdcps/status/8 70422709297139712 …";;;;"870626901630627845";https://twitter.com/RepWilson/status/870626901630627845
;2017-06-01 20:27;3;7;"I pledge to stand with my colleagues, local groups, and the private sector in the fight to protect the future of our climate. pic.twitter.com/YAZOze6IEa";;;;"870451660270608386";https://twitter.com/RepWilson/status/870451660270608386
;2017-06-01 20:12;1;5;"Today @realDonaldTrump sent the message that America is no longer fit to lead. #ParisAgreement pic.twitter.com/uGxYVCuk9I";;@realDonaldTrump;#ParisAgreement;"870447895706718208";https://twitter.com/RepWilson/status/870447895706718208
;2017-06-01 19:50;5;4;"President Trump’s refusal to #ActOnClimate change ignores an issue his Secretary of Defense has identified as a national security threat. pic.twitter.com/77VE4WwyDI";;;#ActOnClimate;"870442347011559424";https://twitter.com/RepWilson/status/870442347011559424
;2017-06-01 19:46;2;3;"Many of the nation’s leading businesses implored the administration to stick with the #ParisAgreement , but the president turned a deaf ear. pic.twitter.com/ERqc15ZFTB";;;#ParisAgreement;"870441352638545920";https://twitter.com/RepWilson/status/870441352638545920
;2017-06-01 19:32;1;5;"Instead of leading a worldwide effort to curb global warming, our president has chosen to endanger our nation’s future. #ParisAgreement pic.twitter.com/jk6H6c0GuW";;;#ParisAgreement;"870437828202602496";https://twitter.com/RepWilson/status/870437828202602496
;2017-06-01 19:20;5;8;"The real hoax is being played on Trump’s supporters who will be among those who stand to suffer the most from his policies. #ParisAgreement pic.twitter.com/nX30OXBdzh";;;#ParisAgreement;"870434809092243460";https://twitter.com/RepWilson/status/870434809092243460
;2017-06-01 19:10;2;5;"Instead of pushing dying industries, President Trump and his team should be taking advantage of opportunities to create new industries. pic.twitter.com/DCvByS8BhT";;;;"870432294187565057";https://twitter.com/RepWilson/status/870432294187565057
;2017-06-01 18:29;5;10;"Pulling out of the #ParisAgreement and dismantling regs to keep the environment safe sets the US on a dangerous path.";;;#ParisAgreement;"870422122291761152";https://twitter.com/RepWilson/status/870422122291761152
;2017-06-01 17:22;4;8;"President Trump just waved the white flag. Leaving the #ParisAgreement is a self-inflicted blow to American leadership in the world.";;;#ParisAgreement;"870405193489420291";https://twitter.com/RepWilson/status/870405193489420291
;2017-06-01 17:20;2;3;"China is ready to #ActOnClimate . Trump’s decision to exit #ParisAgreement is a disaster for American jobs. https:// goo.gl/K7Izww";;;#ActOnClimate #ParisAgreement;"870404757197918208";https://twitter.com/RepWilson/status/870404757197918208
;2017-06-01 17:19;9;13;"The #ParisAccord isn’t controversial. 70% of Americans – and 55% of Republicans – support it.";;;#ParisAccord;"870404512896491520";https://twitter.com/RepWilson/status/870404512896491520
;2017-06-01 17:18;15;20;"Please don't forget there are more than 100 #ChibokGirls still waiting to be rescued from #BokoHaram ! pic.twitter.com/SsEkYv5k3y";;;#ChibokGirls #BokoHaram;"870404276559990784";https://twitter.com/RepWilson/status/870404276559990784
;2017-06-01 17:16;0;3;"My thoughts on the U.S. withdrawal from the #ParisAccord : http:// wilson.house.gov/media-center/p ress-releases/congresswoman-frederica-s-wilson-s-statement-on-the-united-states …";;;#ParisAccord;"870403658483105799";https://twitter.com/RepWilson/status/870403658483105799
;2017-06-01 14:35;2;3;"By pulling out of the Paris accord to keep a campaign promise, @realDonaldTrump breaks govt’s promise to keep Americans & environment safe.";;@realDonaldTrump;;"870363269478977536";https://twitter.com/RepWilson/status/870363269478977536
;2017-06-01 13:30;0;3;"The fight to save ACA is not over. You can count on me! @jacksonhealth @AHMCAventura @NorhtShoreMed @MountSinaiMiami @UMHealthSystem pic.twitter.com/ce7TT3RmXM";;@jacksonhealth @AHMCAventura @NorhtShoreMed @MountSinaiMiami @UMHealthSystem;;"870346717698301952";https://twitter.com/RepWilson/status/870346717698301952
;2017-06-01 10:35;1;8;"I was deeply saddened to learn that a noose was found in the @NMAAHC but it underscores the need for such an important learning center!";;@NMAAHC;;"870302699862052864";https://twitter.com/RepWilson/status/870302699862052864
;2017-05-31 17:46;3;6;"pic.twitter.com/yBbCFhWeDs";;;;"870048967739965440";https://twitter.com/RepWilson/status/870048967739965440
;2017-05-31 14:32;5;8;"ICYMI: #TrumpCuts undermine workplace protections for women & health care access for millions. pic.twitter.com/3i3AnsoXgD";;;#TrumpCuts;"870000095479115777";https://twitter.com/RepWilson/status/870000095479115777
;2017-05-31 13:52;0;6;"We need to be growing jobs, not kicking people when they’re down. #TrumpCuts devastates hardworking families";;;#TrumpCuts;"869990011873185792";https://twitter.com/RepWilson/status/869990011873185792
;2017-05-31 00:21;0;2;"#IMFC #";;;#IMFC #;"869785893200121856";https://twitter.com/RepWilson/status/869785893200121856
;2017-05-30 16:43;3;0;"@DHSgov is headed to #Haiti . I hope it will be an eye-opening experience that will help the secretary understand why he must #SaveTPS !";;@DHSgov;#Haiti #SaveTPS;"869670625106952193";https://twitter.com/RepWilson/status/869670625106952193
;2017-05-30 16:39;7;15;"pic.twitter.com/putlDvCkdK";;;;"869669547871227905";https://twitter.com/RepWilson/status/869669547871227905
;2017-05-28 19:11;2;2;"You are so right Maxine l lone you";;;;"868982996099104768";https://twitter.com/RepWilson/status/868982996099104768
;2017-05-27 17:41;5;12;"These #chibokgirls have been able to build great futures. #JoinRepWilson in praying for the same for the rest! pic.twitter.com/CCz9YKRsrX";;;#chibokgirls #JoinRepWilson;"868597958215950336";https://twitter.com/RepWilson/status/868597958215950336
;2017-05-26 13:00;2;7;"pic.twitter.com/AJcuYQUwMz";;;;"868164873359962113";https://twitter.com/RepWilson/status/868164873359962113
;2017-05-26 06:43;2;1;"So happy to watch you day after day. We are doing our part in the U S Congress. Congresswoman Frederica Wilson";;;;"868070150053953536";https://twitter.com/RepWilson/status/868070150053953536
;2017-05-25 16:18;1;5;"Always an honor to have @5000RoleModels boys in town & show them off to my colleagues who also are so welcoming! http:// goo.gl/MN4zx4";;@5000RoleModels;;"867852381484089345";https://twitter.com/RepWilson/status/867852381484089345
;2017-05-25 15:19;1;5;"And my colleagues in Congress and I will be right there with you! @JacksonLeeTX18 @NancyPelosi @RepBarragan @RepYvetteClarke https:// twitter.com/BBOG_Nigeria/s tatus/867828088532606976 …";;@JacksonLeeTX18 @NancyPelosi @RepBarragan @RepYvetteClarke;;"867837486399070209";https://twitter.com/RepWilson/status/867837486399070209
;2017-05-24 16:17;28;32;"113 #ChibokGirls left to rescue! @RepYvetteClarke @JoaquinCastrotx @GregoryMeeks @NancyPelosi @janschakowsky @RepBarragan @USRepKCastor pic.twitter.com/x63rAgOpfu";;@RepYvetteClarke @JoaquinCastrotx @GregoryMeeks @NancyPelosi @janschakowsky @RepBarragan @USRepKCastor;#ChibokGirls;"867489824835592193";https://twitter.com/RepWilson/status/867489824835592193
;2017-05-24 11:24;0;4;"I refuse to stand by and let Trump succeed in his assault on working families. #TrumpCuts pic.twitter.com/CIyFRC2CLJ";;;#TrumpCuts;"867416028132847617";https://twitter.com/RepWilson/status/867416028132847617
;2017-05-24 08:04;2;3;"https://www. washingtonpost.com/news/retropoli s/wp/2017/05/08/from-mlk-to-oprah-winfrey-historically-black-colleges-educate-african-american-pioneers/?tid=ss_tw-bottom&utm_term=.fe8df7b0e110#…";;;#;"867365720664965120";https://twitter.com/RepWilson/status/867365720664965120
;2017-05-23 20:36;3;8;"It was my honor to welcome all of you at the U.S. Capitol! https:// twitter.com/IamRashodW_/st atus/867184344770772992 …";;;;"867192585298862081";https://twitter.com/RepWilson/status/867192585298862081
;2017-05-23 18:36;2;3;"ICYMI: http://www. nytimes.com/2017/05/22/us/ haitians-displaced-extra-6-months-us.html …";;;;"867162296828801024";https://twitter.com/RepWilson/status/867162296828801024
;2017-05-23 18:35;1;5;"My thoughts on the White House budget's assault on the poor: http:// wilson.house.gov/media-center/p ress-releases/congresswoman-frederica-s-wilson-s-statement-on-the-white-house-budget … pic.twitter.com/rUFuTcb73i";;;;"867162075977613312";https://twitter.com/RepWilson/status/867162075977613312
;2017-05-23 18:17;3;26;"Thank you, @NancyPelosi for taking time to speak with my @5000RoleModels boys. You are a leader in so many ways! pic.twitter.com/0lGgit2jsK";;@NancyPelosi @5000RoleModels;;"867157616769859585";https://twitter.com/RepWilson/status/867157616769859585
;2017-05-23 14:41;3;5;"There is still a lot of work to be done to #SaveTPS ! http://www. nytimes.com/2017/05/22/us/ haitians-displaced-extra-6-months-us.html …";;;#SaveTPS;"867103087193985024";https://twitter.com/RepWilson/status/867103087193985024
;2017-05-23 13:47;0;3;"It was great to meet with you and I look forward to doing it again. https:// twitter.com/canadip/status /867086853576564736 …";;;;"867089691501363200";https://twitter.com/RepWilson/status/867089691501363200
;2017-05-23 10:29;9;9;"#TrumpCuts almost everything critical to our country's future growth & prosperity in his budget. pic.twitter.com/ji0j5MNxrR";;;#TrumpCuts;"867039885156388865";https://twitter.com/RepWilson/status/867039885156388865
