username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:57;16;65;"Very concerned for @SteveScalise & all those hurt this AM. Also thoughts are w/ @CapitolPolice who risk their lives to protect Congress";;@SteveScalise @CapitolPolice;;"874974039969861632";https://twitter.com/SenatorShaheen/status/874974039969861632
;2017-06-13 17:25;90;110;"Trump admin #GlobalGag could contribute to 6.5 mil unintended pregnancies & 21k maternal deaths--hardly a "minimal impact" on women's health pic.twitter.com/9HfODO6FeZ";;;#GlobalGag;"874754515391664128";https://twitter.com/SenatorShaheen/status/874754515391664128
;2017-06-13 16:11;28;59;"All-male GOP group is leading healthcare repeal that will hurt women's health. I'm speaking out w/women Sens @5:30→ http://www. facebook.com/USSenateDemocr ats … pic.twitter.com/LN00Z5md04";;@5;;"874736047657279492";https://twitter.com/SenatorShaheen/status/874736047657279492
;2017-06-13 11:42;504;786;"Appalling GOP leadership is shutting down press access in Capitol as they decide healthcare for millions. I’m happy to take Q’s on-camera https:// twitter.com/kasie/status/8 74650189885263872 …";;;;"874668341532794882";https://twitter.com/SenatorShaheen/status/874668341532794882
;2017-06-13 11:30;78;98;"An all-male group of Senate Republicans is negotiating Bodhi’s healthcare behind closed doors. I’m fighting to preserve Bodhi's care pic.twitter.com/oET5iBk3Dp";;;;"874665270551478275";https://twitter.com/SenatorShaheen/status/874665270551478275
;2017-06-13 10:27;40;90;"It’s important to have AG Rosenstein on the record regarding independence of Special Counsel Mueller’s investigation—We have that today: pic.twitter.com/Bi4Ha1k1M1";;;;"874649427943841795";https://twitter.com/SenatorShaheen/status/874649427943841795
;2017-06-13 07:55;35;89;"I’ve been involved in bipartisan discussions to finally sanction Russia for election interference. Last night, we reached an agreement: pic.twitter.com/8vlz2uvevN";;;;"874611095809519616";https://twitter.com/SenatorShaheen/status/874611095809519616
;2017-06-12 14:24;36;55;"ACA repeal jeopardizes treatment of NH kids, yet GOP Senate negotiating behind closed doors & not allowing hearings http://www. wmur.com/article/top-pe diatrician-warns-that-ahca-could-hurt-childrens-hospitals/10003499 …";;;;"874346794683125761";https://twitter.com/SenatorShaheen/status/874346794683125761
;2017-06-12 13:03;21;36;"Visited Portsmouth Regional Hospital, which relies on #ACA for mental health & psychiatric treatment & would be hurt by GOP repeal effort pic.twitter.com/4Pav2v7kS1";;;#ACA;"874326390774145024";https://twitter.com/SenatorShaheen/status/874326390774145024
;2017-06-12 09:41;33;120;"1 year ago 49 lives were needlessly taken. Today we honor their memory& recommit to the ongoing fight against terror& hate #OrlandoUnitedDay";;;#OrlandoUnitedDay;"874275490642763776";https://twitter.com/SenatorShaheen/status/874275490642763776
;2017-06-09 10:10;25;78;"TY Mayors Donchess & Blalock, proud that the cities of Nashua & Portsmouth remain committed to the #ParisAgreement http:// nhpr.org/post/nashua-po rtsmouth-join-list-cities-sticking-paris-climate-agreement#stream/0 …";;;#ParisAgreement #stream;"873195679572791296";https://twitter.com/SenatorShaheen/status/873195679572791296
;2017-06-09 09:39;53;111;"Agree w/ @clairecmc . This is shameful! No hearings, no amendments& could impact healthcare for millions of Americans! https:// twitter.com/SenateDems/sta tus/873001941521108992 …";;@clairecmc;;"873187785963909122";https://twitter.com/SenatorShaheen/status/873187785963909122
;2017-06-08 13:58;31;133;"My statement following former FBI Director Comey's testimony before the Senate Intelligence Committee: pic.twitter.com/kzOTjgHZwc";;;;"872890653948211201";https://twitter.com/SenatorShaheen/status/872890653948211201
;2017-06-07 16:41;6;32;"Hot and fresh Cider Bellies Doughnuts at #ExperienceNH pic.twitter.com/bF6kPVctyV";;;#ExperienceNH;"872569141718380544";https://twitter.com/SenatorShaheen/status/872569141718380544
;2017-06-07 16:35;5;15;"Oyster River Middle School student Siena getting her reading in before #ExperienceNH pic.twitter.com/XoR33mNOwF";;;#ExperienceNH;"872567808063930369";https://twitter.com/SenatorShaheen/status/872567808063930369
;2017-06-07 15:36;4;8;"All our participants are setup, excited for #ExperienceNH to get underway! pic.twitter.com/BL8cCtaKLa";;;#ExperienceNH;"872552755025633281";https://twitter.com/SenatorShaheen/status/872552755025633281
