username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-13 12:28;3;3;"My Q&A w/ #SecDef Mattis on #Afghanistan . Asked him to define what 'winning' there means: https:// youtu.be/j1U4aPfB_kw?t= 3m14s … @DeptofDefense";;@DeptofDefense;#SecDef #Afghanistan;"874679966566412288";https://twitter.com/SenatorWicker/status/874679966566412288
;2017-06-13 11:57;4;7;"ICYMI | My first in a series of remarks on building & sustaining a 355-ship Naval fleet: https:// goo.gl/UfbSJo";;;;"874672059095412736";https://twitter.com/SenatorWicker/status/874672059095412736
;2017-06-12 17:17;4;16;"Speaking on the Senate floor right now about building and sustaining a larger @USNavy . Watch here LIVE: https:// goo.gl/aZMqG0";;@USNavy;;"874390297819697153";https://twitter.com/SenatorWicker/status/874390297819697153
;2017-06-12 12:52;2;11;"Greetings from Ruleville, MS! #SunflowerCounty #MSDelta #MississippiMonday pic.twitter.com/7Mqk0WDqUm";;;#SunflowerCounty #MSDelta #MississippiMonday;"874323608683905024";https://twitter.com/SenatorWicker/status/874323608683905024
;2017-06-12 10:18;7;13;"#WickerReport : We can never truly repay our #Vets , but we CAN ensure they receive quality care from @DeptVetAffairs . https:// goo.gl/RyCtyu";;@DeptVetAffairs;#WickerReport #Vets;"874284741213769728";https://twitter.com/SenatorWicker/status/874284741213769728
;2017-06-09 12:48;15;47;"Introduced @SecretarySonny at today's #DeltaCouncil mtg. at @DeltaState . Economic development & ag are key to #MSDelta growth! pic.twitter.com/xPYAXyO3we";;@SecretarySonny @DeltaState;#DeltaCouncil #MSDelta;"873235354215731201";https://twitter.com/SenatorWicker/status/873235354215731201
;2017-06-08 15:46;1;5;"Great meeting this group of #MississippiDelta students today in the Capitol. pic.twitter.com/cBNMBU7K7L";;;#MississippiDelta;"872917784778481666";https://twitter.com/SenatorWicker/status/872917784778481666
;2017-06-08 15:11;8;30;"Enjoyed celebrating #SeersuckerThursday with my staff and colleagues, @BillCassidy , @SenThadCochran , @amyklobuchar , & @SenatorIsakson . pic.twitter.com/6LmqFzD2no";;@BillCassidy @SenThadCochran @amyklobuchar @SenatorIsakson;#SeersuckerThursday;"872908999607365632";https://twitter.com/SenatorWicker/status/872908999607365632
;2017-06-08 14:11;13;17;"Today's #ComeyTestimony confirmed that @realDonaldTrump was not under investigation. My full statement here: https:// goo.gl/fm2NNK pic.twitter.com/pRQEQEmWXn";;@realDonaldTrump;#ComeyTestimony;"872893785319067649";https://twitter.com/SenatorWicker/status/872893785319067649
;2017-06-07 16:15;3;3;"ICYMI | My Q&A w/ @SecElaineChao about the #FAA and its role in rural America, and the current pilot shortage. https:// youtu.be/WiUtvSg7s4w";;@SecElaineChao;#FAA;"872562597589078017";https://twitter.com/SenatorWicker/status/872562597589078017
;2017-06-07 07:30;3;6;"My goal as #SASC #Seapower Chairman is to help @POTUS keep his promise for 355-ship @USNavy . https:// youtu.be/hya-yEEiMs4";;@POTUS @USNavy;#SASC #Seapower;"872430441239724033";https://twitter.com/SenatorWicker/status/872430441239724033
;2017-06-06 17:30;6;18;"Voted today to make it easier for @DeptVetAffairs to remove substandard employees. Our vets deserve the best care! https:// goo.gl/Xl2FyJ";;@DeptVetAffairs;;"872219137476624385";https://twitter.com/SenatorWicker/status/872219137476624385
;2017-06-06 15:11;1;7;"#Obamacare is crashing & burning. I'm working w/ @SenateGOP to replace it. https:// youtu.be/klSSUwIQKBs";;@SenateGOP;#Obamacare;"872184068376600576";https://twitter.com/SenatorWicker/status/872184068376600576
;2017-06-06 13:46;5;13;"We will rebuild America’s defense. South MS is key to fulfilling @realDonaldTrump ’s plan for 355-ship @USNavy . https:// youtu.be/hya-yEEiMs4";;@realDonaldTrump @USNavy;;"872162845412249601";https://twitter.com/SenatorWicker/status/872162845412249601
;2017-06-06 11:30;6;23;"Today, we honor the more than 160K Allied troops who landed at #Normandy and the 9,000+ service members who never returned. #DDay pic.twitter.com/MXSD1tMCf3";;;#Normandy #DDay;"872128524735348737";https://twitter.com/SenatorWicker/status/872128524735348737
;2017-06-06 10:55;4;15;"Kudos to @TrumpHotels for investing in the #Mississippi Delta. @tourclevelandms to be site of luxury hotel in 2018. https:// goo.gl/lKUtuS";;@TrumpHotels @tourclevelandms;#Mississippi;"872119854471540738";https://twitter.com/SenatorWicker/status/872119854471540738
;2017-06-06 08:43;5;10;"Pleased to formally welcome #Montenegro into #NATO . Confident they will make important contributions to #security & stability in our region.";;;#Montenegro #NATO #security;"872086445892263936";https://twitter.com/SenatorWicker/status/872086445892263936
;2017-06-05 17:00;5;13;"In this week’s #WickerReport : I agree with @realDonaldTrump ’s decision to withdraw from the #ParisDeal https:// goo.gl/zZKRKV";;@realDonaldTrump;#WickerReport #ParisDeal;"871849132037742592";https://twitter.com/SenatorWicker/status/871849132037742592
;2017-06-05 12:08;9;23;"D’Lo, MS, had more men and women to serve in the armed forces of World War II per capita than any other town in the U.S. #MississippiMonday pic.twitter.com/f8dmSDCTvc";;;#MississippiMonday;"871775748553678848";https://twitter.com/SenatorWicker/status/871775748553678848
;2017-06-05 06:57;1;14;"Spoke at the Opening Session of American Legion Auxiliary Magnolia Girls State in #Hattiesburg yesterday. Great event to finish the weekend! pic.twitter.com/vDQNikopiF";;;#Hattiesburg;"871697450771390466";https://twitter.com/SenatorWicker/status/871697450771390466
;2017-06-04 09:46;7;10;"CWallace argues w @ScottPruittOK on @FoxNewsSunday . Won't let him finish his sentences. Paris won't make planet cooler or sea levels lower!";;@ScottPruittOK @FoxNewsSunday;;"871377656176037888";https://twitter.com/SenatorWicker/status/871377656176037888
;2017-06-04 09:43;9;20;"AlGore on @FoxNewsSunday says Paris wouldn't solve the problem but would "send a powerful signal". We will lose jobs but love that signal.";;@FoxNewsSunday;;"871376777016487936";https://twitter.com/SenatorWicker/status/871376777016487936
;2017-06-03 08:15;18;37;"50 yrs ago today, Billy Joe McAllister jumped off the Tallahatchie Bridge! #BobbieGentry #GRAMMYs . #Mississippi gal made us proud.";;;#BobbieGentry #GRAMMYs #Mississippi;"870992356824064001";https://twitter.com/SenatorWicker/status/870992356824064001
;2017-06-02 13:20;2;9;"These #FAA awards are an important investment in #Mississippi ’s economic development. https:// goo.gl/Tzonb3 https:// twitter.com/FAANews/status /870693414991388672 …";;;#FAA #Mississippi;"870706631314522112";https://twitter.com/SenatorWicker/status/870706631314522112
;2017-06-01 17:31;17;41;"My op-ed in @USATODAY : #ParisDeal would've threatened U.S. prosperity. @realDonaldTrump did the right thing: https:// goo.gl/89YyDh";;@USATODAY @realDonaldTrump;#ParisDeal;"870407473592758272";https://twitter.com/SenatorWicker/status/870407473592758272
;2017-06-01 17:26;3;10;"Mississippi's #GulfCoast will host development of the next generation of underwater unmanned systems w/ new Ocean Task Force. pic.twitter.com/dZX7HL8xtu";;;#GulfCoast;"870406338303623168";https://twitter.com/SenatorWicker/status/870406338303623168
;2017-06-01 14:11;3;14;"Honored to be on hand for the groundbreaking of a new main gate at @Keesler_AFB . Important development for @CityofBiloxi & security pic.twitter.com/EUY8DKJOlm";;@Keesler_AFB @CityofBiloxi;;"870357136219525120";https://twitter.com/SenatorWicker/status/870357136219525120
