username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:16;8;22;"On this day in 1777, a resolution called for an official flag of the United States. Today, we honor the Stars and Stripes on #FlagDay . pic.twitter.com/eQ5gHAKWMt";;;#FlagDay;"875054346970566656";https://twitter.com/sendavidperdue/status/875054346970566656
;2017-06-14 13:02;8;26;"Happy 242nd Birthday, @USArmy . Thank you for your great service to our country. https:// twitter.com/USArmy/status/ 874959852212277248 …";;@USArmy;;"875050816322883584";https://twitter.com/sendavidperdue/status/875050816322883584
;2017-06-14 12:39;17;46;"It is not said enough. Thank you to our @CapitolPolice for their heroism. Praying for all who were injured this morning. pic.twitter.com/g0nXFAiv6t";;@CapitolPolice;;"875045000786173952";https://twitter.com/sendavidperdue/status/875045000786173952
;2017-06-14 08:10;39;105;"Our heartfelt prayers go out to all of the members, staffers, and Capitol Police officers affected this morning.";;;;"874977226864951301";https://twitter.com/sendavidperdue/status/874977226864951301
;2017-06-14 08:09;28;139;"My staff and I are safe.";;;;"874977193167867905";https://twitter.com/sendavidperdue/status/874977193167867905
;2017-06-14 06:44;5;6;"In about 15 mins, tune in to @FoxBusiness @MorningsMaria . We're discussing nat'l debt & Washington's broken budget process. #gapol";;@FoxBusiness @MorningsMaria;#gapol;"874955668310175744";https://twitter.com/sendavidperdue/status/874955668310175744
;2017-06-13 16:41;12;45;"Having a great time welcoming our new group of interns. Glad to have you as a part of the team. pic.twitter.com/TBKyzcNMB7";;;;"874743665884876801";https://twitter.com/sendavidperdue/status/874743665884876801
;2017-06-13 11:31;8;16;"Joining @BloombergTV now to discuss our @BudgetGOP hearing w/Secretary Mnuchin today. Hope you can tune in!";;@BloombergTV @BudgetGOP;;"874665551192346625";https://twitter.com/sendavidperdue/status/874665551192346625
;2017-06-12 18:30;6;34;"Congratulations, @GeorgiaSwarmLAX - NLL Champions! http://www. bizjournals.com/atlanta/news/2 017/06/11/georgia-swarm-brings-atlanta-nll-championship-by.html …";;@GeorgiaSwarmLAX;;"874408476889370624";https://twitter.com/sendavidperdue/status/874408476889370624
;2017-06-12 09:36;13;45;"Wishing President @GeorgeHWBush a happy birthday! #41 pic.twitter.com/lHIzqS7xlO";;@GeorgeHWBush;#41;"874274109500395520";https://twitter.com/sendavidperdue/status/874274109500395520
;2017-06-12 09:34;9;20;"Great news for Georgia! #gajobs https:// twitter.com/GovernorDeal/s tatus/874268918390689793 …";;;#gajobs;"874273757627633665";https://twitter.com/sendavidperdue/status/874273757627633665
;2017-06-09 16:05;6;32;"Sharing a few photos from this morning's breakfast honoring 20 Georgians nominated & appointed to US Service Academies. Congrats to all! pic.twitter.com/g1zKERtd7X";;;;"873285009993609216";https://twitter.com/sendavidperdue/status/873285009993609216
;2017-06-09 09:30;3;17;"Join me now on @FoxNews w/ @BillHemmer . We're talking about #Comey hearing & more. #gapol";;@FoxNews @BillHemmer;#Comey #gapol;"873185562877886468";https://twitter.com/sendavidperdue/status/873185562877886468
;2017-06-08 16:33;16;42;"Praying for all impacted by this tragedy. https:// twitter.com/wsbtv/status/8 72927734984581120 …";;;;"872929721843150848";https://twitter.com/sendavidperdue/status/872929721843150848
;2017-06-07 13:08;12;39;"Happy Birthday to a great leader and friend, @VP Mike Pence! https:// twitter.com/VP/status/8724 37125844791296 …";;@VP;;"872515614954356738";https://twitter.com/sendavidperdue/status/872515614954356738
;2017-06-07 11:51;13;49;"Christopher Wray is the ideal candidate to be new @FBI Director. pic.twitter.com/XdCifMCLiE";;@FBI;;"872496327539732480";https://twitter.com/sendavidperdue/status/872496327539732480
;2017-06-06 11:09;9;25;"Great to meet w/ Mayor DeLoach & #Savannah community leaders this morning. #gapol pic.twitter.com/RW1N8T509M";;;#Savannah #gapol;"872123288490831872";https://twitter.com/sendavidperdue/status/872123288490831872
;2017-06-01 15:39;817;3055;"Today @POTUS chose to make a clean exit from the #ParisAgreement which was a perfect example of Obama-era overreach. pic.twitter.com/THoEtjfmed";;@POTUS;#ParisAgreement;"870379383382560770";https://twitter.com/sendavidperdue/status/870379383382560770
;2017-05-30 09:12;7;46;"Keeping Army Spc. Murphy & his loved ones in my thoughts & prayers. GA is grateful for your service to our nation. http:// 2wsb.tv/2rghYS3";;;;"869557131430821889";https://twitter.com/sendavidperdue/status/869557131430821889
;2017-05-29 09:48;33;85;"Our nation’s best and brightest have served in uniform. Today we remember all those who made the ultimate sacrifice to protect our freedom. pic.twitter.com/10BvA9pvjO";;;;"869203767681568774";https://twitter.com/sendavidperdue/status/869203767681568774
;2017-05-27 11:00;7;25;"Happy to hear @GaPorts had busiest April on record. 334,950 tons handled, up 13% from last yr via @AtlBizChron . http://www. bizjournals.com/atlanta/news/2 017/05/22/georgia-ports-see-busiest-april-ever.html …";;@GaPorts @AtlBizChron;;"868497034281590785";https://twitter.com/sendavidperdue/status/868497034281590785
;2017-05-26 13:00;2;2;"You can help re-name the @GwinnettBraves ! Suggest a new name by following the link. https:// secure.milb.com/tickets/form.j sp?formid=team_name_submission&formcode=form&sid=t431&section=team2 …";;@GwinnettBraves;;"868164850152865792";https://twitter.com/sendavidperdue/status/868164850152865792
;2017-05-25 17:20;25;46;"Every dollar Washington spends—every dollar we are debating here today—is borrowed money. #debt @BudgetGOP pic.twitter.com/fbhKwVUn6T";;@BudgetGOP;#debt;"867867896256503809";https://twitter.com/sendavidperdue/status/867867896256503809
;2017-05-25 17:10;17;47;"#Budget process is absolutely broken & it has only worked four times in 43 years. This is unacceptable and must be fixed. pic.twitter.com/VYTCrO9LE2";;;#Budget;"867865367749681152";https://twitter.com/sendavidperdue/status/867865367749681152
;2017-05-25 16:40;22;38;"Thank you to #OMB Director Mulvaney for addressing #debt in @BudgetGOP hearing today. Big gov't has failed our country. pic.twitter.com/VojSPn2dkH";;@BudgetGOP;#OMB #debt;"867857967101726721";https://twitter.com/sendavidperdue/status/867857967101726721
;2017-05-25 13:58;17;25;"RT if you share the same concern w/ issues our country is facing today. @FoxNews pic.twitter.com/9NQ4acrfyD";;@FoxNews;;"867817046494642179";https://twitter.com/sendavidperdue/status/867817046494642179
