username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-13 20:46;1;2;"@SenatorBurr ! Let Session's answer? Let your COLLEAGUE @SenKamalaHarris speak! #iGotyourback #BlackGirlMagic #NeverThelessShePersisted #CBC";;@SenatorBurr @SenKamalaHarris;#iGotyourback #BlackGirlMagic #NeverThelessShePersisted #CBC;"874805238947082240";https://twitter.com/StaceyPlaskett/status/874805238947082240
;2017-06-06 12:16;0;4;"#congratulations to the 2017 graduating classes of the Good Hope Country Day School & St. Joseph High School. #USVIDelegate #VI00";;;#congratulations #USVIDelegate #VI00;"872140162993664000";https://twitter.com/StaceyPlaskett/status/872140162993664000
;2017-06-06 12:09;4;14;"We have a moral responsibility to future generations to leave them a healthy, sustainable planet. #ParisAgreement";;;#ParisAgreement;"872138431819915265";https://twitter.com/StaceyPlaskett/status/872138431819915265
;2017-05-18 11:25;0;0;"Plaskett Statement on National Police Week https:// goo.gl/gE0Z0g";;;;"865241864189956097";https://twitter.com/StaceyPlaskett/status/865241864189956097
;2017-05-17 18:03;3;12;"Appointment of frm FBI Dir Robert Mueller as #SpecialCounsel to #TrumpRussia investigation is an important step toward uncovering the truth.";;;#SpecialCounsel #TrumpRussia;"864979638321393669";https://twitter.com/StaceyPlaskett/status/864979638321393669
;2017-05-16 09:13;0;4;"Thank You @The_Dialogue @the_IDB @Afromedios for today's discussion. Together we will find the right solutions to reduce #CaribbeanViolence";;@The_Dialogue @the_IDB @Afromedios;#CaribbeanViolence;"864484008247402499";https://twitter.com/StaceyPlaskett/status/864484008247402499
;2017-05-16 08:32;5;13;"Discussing #CaribbeanViolence and solutions w/ @the_IDB Honored to learn and lend my voice. #USVI pic.twitter.com/5LzhGdnVrm";;@the_IDB;#CaribbeanViolence #USVI;"864473569933361152";https://twitter.com/StaceyPlaskett/status/864473569933361152
;2017-05-10 21:57;2;23;"if it means ensuring transparency & speaking truth to power, we're guilty as charged. #ProtectOurDemocracy";;;#ProtectOurDemocracy;"862501966181748737";https://twitter.com/StaceyPlaskett/status/862501966181748737
;2017-05-10 10:44;78;127;"Comey termination: surprise. This: not really. #Trumprussia https:// twitter.com/RepKathleenRic e/status/862329084147376128 …";;;#Trumprussia;"862332574223433728";https://twitter.com/StaceyPlaskett/status/862332574223433728
;2017-05-10 10:16;168;323;"Congress must act to ensure transparency & appoint an independent commission for #Trumprussia The American people deserve to know the truth.";;;#Trumprussia;"862325431462219777";https://twitter.com/StaceyPlaskett/status/862325431462219777
;2017-05-04 15:49;2;6;"A day after I met w/ local DVSAC in support for victims of sex assault, domestic violence, @houseGOP votes to deny them healthcare. #AHCA";;@houseGOP;#AHCA;"860235014868541441";https://twitter.com/StaceyPlaskett/status/860235014868541441
;2017-05-02 16:21;0;0;"Thank you! you may contact me here: https:// plaskett.house.gov/forms/writeyou rrep/ …";;;;"859518211951349761";https://twitter.com/StaceyPlaskett/status/859518211951349761
;2017-04-18 10:03;5;14;"Admission will be waived at all NPS sites on 4/22-4/23 in honor of National Park Week! Get out and #FindYourPark #USVIDelegate #VI00 pic.twitter.com/CKuuaybNFk";;;#FindYourPark #USVIDelegate #VI00;"854349708042653697";https://twitter.com/StaceyPlaskett/status/854349708042653697
;2017-03-24 15:21;0;4;"working w/ Dems & members from other territories to have us all included in ACA fix.";;;;"845370073846034432";https://twitter.com/StaceyPlaskett/status/845370073846034432
;2017-03-24 13:52;4;6;"Saving lives is the only bottom line that matters. #Trumpcare prioritizes tax breaks for the rich at expense of the health needs of millions pic.twitter.com/rRSzhNFp9g";;;#Trumpcare;"845347658889859072";https://twitter.com/StaceyPlaskett/status/845347658889859072
