username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:48;3953;5828;"Update on the Condition of Majority Whip Steve Scalise https://www. majoritywhip.gov/news/update-co ndition-majority-whip-steve-scalise/ … pic.twitter.com/BVGXbOKRMY";;;;"874986924154511360";https://twitter.com/SteveScalise/status/874986924154511360
;2017-06-13 18:10;965;2370;"We just passed a bill to hold the #VA accountable so our #veterans can get the care they deserve. pic.twitter.com/Ug7pbnPCiQ";;;#VA #veterans;"874766066110648321";https://twitter.com/SteveScalise/status/874766066110648321
;2017-06-13 16:29;97;233;". @RepLouBarletta ’s bill safeguards our tax $ and prevents waste, fraud, and abuse of our health care subsidy and tax credit system. pic.twitter.com/sGrFkxzdMT";;@RepLouBarletta;;"874740610275692546";https://twitter.com/SteveScalise/status/874740610275692546
;2017-06-13 16:18;116;272;". @marcorubio 's bill expands whistleblower protections & creates a new process to fire, demote, or suspend any VA employee for misconduct. pic.twitter.com/Ft8Rct829O";;@marcorubio;;"874737668063731715";https://twitter.com/SteveScalise/status/874737668063731715
;2017-06-12 09:27;20;110;"Happy 93rd birthday to @GeorgeHWBush ! pic.twitter.com/rjO8c7V7Ue";;@GeorgeHWBush;;"874271918106587137";https://twitter.com/SteveScalise/status/874271918106587137
;2017-06-12 08:46;10;54;"Congrats to @LSUbaseball on a hard-earned win – we are cheering you on as you head to Omaha for the @NCAACWS ! http://www. theadvocate.com/baton_rouge/sp orts/lsu/article_5ede55ae-4f18-11e7-8b27-d36975799c68.html#utm_source=theadvocate.com&utm_campaign=%2Fnewsletters%2Fnew-orleans-breaking-news%2F%3F-dc%3D1497270008&utm_medium=email&utm_content=headline … pic.twitter.com/cqVnJseqcn";;@LSUbaseball @NCAACWS;#utm_source;"874261740934103040";https://twitter.com/SteveScalise/status/874261740934103040
;2017-06-11 09:47;70;182;"#DoddFrank crushed community banks and hurt families & small businesses. Our #CHOICEAct brings opportunities back to Main Street. pic.twitter.com/QJb1EFc7dx";;;#DoddFrank #CHOICEAct;"873914583542632452";https://twitter.com/SteveScalise/status/873914583542632452
;2017-06-10 19:17;26;60;"God bless these heroes. We are praying for them and for their families. https:// twitter.com/foxnews/status /873611153938808835 …";;;;"873695692212113408";https://twitter.com/SteveScalise/status/873695692212113408
;2017-06-09 14:21;6;18;"Glad to see this new BSEE rule to help Gulf operators keep producing American energy safely! https:// twitter.com/bseegov/status /873165747463360512 …";;;;"873258691847442432";https://twitter.com/SteveScalise/status/873258691847442432
;2017-06-09 11:20;51;134;"The #CHOICEAct removes Washington red tape, making it easier for folks to get a mortgage. pic.twitter.com/A4hdr2BhHz";;;#CHOICEAct;"873213163298226176";https://twitter.com/SteveScalise/status/873213163298226176
;2017-06-08 15:41;85;194;"The House just passed the #CHOICEact , ending bailouts for Wall Street and creating opportunities for Main Street. pic.twitter.com/REukVaRmcP";;;#CHOICEact;"872916396887486465";https://twitter.com/SteveScalise/status/872916396887486465
;2017-06-08 13:24;36;81;"#DoddFrank is a disaster for Main Street. Today, we'll pass the #CHOICEAct to create jobs & grow our economy. pic.twitter.com/YkTlV0Vxb1";;;#DoddFrank #CHOICEAct;"872882025082048512";https://twitter.com/SteveScalise/status/872882025082048512
;2017-06-07 15:09;12;30;". @RepAnnWagner : Americans deserve the Financial #CHOICEAct http://www. washingtonexaminer.com/americans-dese rve-the-financial-choice-act/article/2621285 … pic.twitter.com/wQntglkCbH";;@RepAnnWagner;#CHOICEAct;"872546111726247937";https://twitter.com/SteveScalise/status/872546111726247937
;2017-06-07 14:23;22;29;"#CHOICEact : Holds Wall Street accountable. Unleashes opportunity for small businesses. Provides regulatory relief. Ends bailouts.";;;#CHOICEact;"872534509090213888";https://twitter.com/SteveScalise/status/872534509090213888
;2017-06-07 11:09;16;34;"We're exporting oil at twice the rate of 2016! I'm proud to lead the fight to increase oil exports in the US https://www. wsj.com/articles/u-s-o il-exports-double-reshaping-vast-global-markets-1496833200 …";;;;"872485782807818244";https://twitter.com/SteveScalise/status/872485782807818244
;2017-06-07 10:37;4;34;"Happy birthday to my friend @VP Mike Pence! pic.twitter.com/rTLBBchQKK";;@VP;;"872477695715704833";https://twitter.com/SteveScalise/status/872477695715704833
