username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 11:57;1;3;". @sethmoulton supported S. 1094, a bill to reform the VA. Read more https:// medium.com/@teammoulton/v ote-explanation-for-s-a65450ebd3a6 …";;@sethmoulton @teammoulton;;"875396741201317888";https://twitter.com/teammoulton/status/875396741201317888
;2017-06-15 10:39;0;1;""This bill is a solution in search of a problem." #Trumpcare #AHCA Read why @sethmoulton voted against H.R. 2581 -> https:// medium.com/@teammoulton/v ote-explanation-for-h-r-2581-verify-first-act-a6b0a6f030c8 …";;@sethmoulton @teammoulton;#Trumpcare #AHCA;"875377112655564803";https://twitter.com/teammoulton/status/875377112655564803
;2017-06-14 08:25;1;4;"This morning, @sethmoulton and #NewDems colleagues are holding a forum to discuss portable benefits in the #FutureOfWork . Watch live NOW https:// twitter.com/HouseNewDems/s tatus/874978352418914304 …";;@sethmoulton;#NewDems #FutureOfWork;"874981217552216064";https://twitter.com/teammoulton/status/874981217552216064
;2017-06-13 11:24;2;7;"Thx again to . @ICIC for partnering with @SethMoulton 's office to bring a mini-MBA to 35 North Shore companies! #MA6 #SmallBiz #NorthShoreMA pic.twitter.com/vVUsGRi8Pg";;@ICIC @SethMoulton;#MA6 #SmallBiz #NorthShoreMA;"874663848078397440";https://twitter.com/teammoulton/status/874663848078397440
;2017-06-12 17:37;12;22;"Today, we stand with the #LGBT members of or communities in remembering the victims of the #PulseNightclub shooting. #OrlandoUnitedDay pic.twitter.com/FYE3WiXMrC";;;#LGBT #PulseNightclub #OrlandoUnitedDay;"874395298436718595";https://twitter.com/teammoulton/status/874395298436718595
;2017-06-12 14:51;3;7;"Thanks for the discussion at #ResearchBreakfast , @ACSCANMA ! . @SethMoulton is proud to support NIH funding for cancer treatment research. pic.twitter.com/Q2VnGOvFAX";;@ACSCANMA @SethMoulton;#ResearchBreakfast;"874353561622261760";https://twitter.com/teammoulton/status/874353561622261760
;2017-06-12 14:06;2;11;""The #CHOICEact is yet another example of politicians looking out for big banks instead of the middle class." https:// medium.com/@teammoulton/v ote-explanation-for-h-r-10-financial-choice-act-of-2017-30dae848ce71 …";;@teammoulton;#CHOICEact;"874342050702950400";https://twitter.com/teammoulton/status/874342050702950400
;2017-06-12 13:26;1;7;"The men & women securing our southern border should be held to the highest standards. Vote explanation for HR 2213 https:// medium.com/@teammoulton/v ote-explanation-for-h-r-2213-anti-border-corruption-reauthorization-act-of-2017-38d643dd4ad5 …";;@teammoulton;;"874332200791150592";https://twitter.com/teammoulton/status/874332200791150592
;2017-06-10 16:54;2;13;"#DCPride @andyflick , @mattcorridoni , & @ajstolit of Team Moulton marching with the @lgbtcsa pic.twitter.com/zcJOqreiU2";;@andyflick @mattcorridoni @ajstolit @lgbtcsa;#DCPride;"873659586728910848";https://twitter.com/teammoulton/status/873659586728910848
;2017-06-10 13:02;1;6;"Big win for the LEAD team: @MassDOT has authorized operating funds for the #LynnMA ferry http:// buff.ly/2t3KWUP pic.twitter.com/6CuqUKWXQ6";;@MassDOT;#LynnMA;"873601373929177088";https://twitter.com/teammoulton/status/873601373929177088
;2017-06-10 12:13;1;8;". @salemnews : ". @sethmoulton is fresh off a bipartisan Congressional delegation to Southeast Asia..." http:// bit.ly/2sozrek pic.twitter.com/bNtPPlnIcN";;@salemnews @sethmoulton;;"873588874089566208";https://twitter.com/teammoulton/status/873588874089566208
;2017-06-09 15:34;1;11;"Always a pleasure to host the next generation of leaders in our office. Thx to this group from the Waring School for insightful questions! pic.twitter.com/4GstotLbPe";;;;"873277080699629568";https://twitter.com/teammoulton/status/873277080699629568
;2017-06-09 14:21;3;15;"Yesterday, . @sethmoulton joined colleagues in a letter calling on @POTUS commit to #ArticleV , NATO's mutual defense clause. pic.twitter.com/XpKE7EiHUF";;@sethmoulton @POTUS;#ArticleV;"873258735141101568";https://twitter.com/teammoulton/status/873258735141101568
