,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
austinscottga08,,4.932035,,1.06429,3.6757,6.0426,1.56161,,,austinscottga08
benniegthompson,,-1.21138,,,,-1.82301,,,,benniegthompson
bettymccollum04,-56.669016,-119.88476,-67.1729,-59.540265,-27.9957983333,-33.955595,-4.8796734,-33.0806325,-56.5287,bettymccollum04
billpascrell,-2.87143,-2.62381,-2.353348,-2.33789666667,,-1.02655,,-1.33333,-17.9542,billpascrell
boblatta,1.37997,9.67352666667,,,,0.974138,,,,boblatta
bradsherman,,-1.94118,,-5.38195,,,,,-0.748092,bradsherman
call_me_dutch,-1.31258278,-4.76534333333,-3.12901333333,-1.57327019,-2.967365,-2.715476,-20.4666643333,-1.57663,-6.73282,call_me_dutch
candicemiller,1.678195,,0.0296569,-0.969076,,1.08696,,,,candicemiller
cathymcmorris,7.926215,3.1412825,8.87357,13.830632,1.0,7.8238125,3.7478775,11.442992,10.5544004286,cathymcmorris
cbrangel,-39.4343566667,-61.711175,-41.164824,-37.333904,-19.49034525,-32.6426424,-8.514975,-4.53695,-18.4588,cbrangel
chelliepingree,-0.478423959,-1.14123926675,0.00100234,-3.23189452333,-0.6458539,-42.3153413333,-0.9010485,-0.55299331,-0.143404,chelliepingree
chrismurphyct,-10.588038,-42.5257383333,-4.71258857143,-4.56095714286,-6.45369833333,-18.425498,-17.7091425,-4.55987571429,-19.2308983333,chrismurphyct
chrisvanhollen,-54.966055,-99.947165,-10.4795,,-13.2791,-3.83607,-0.720238,,,chrisvanhollen
chuckgrassley,,0.688525,1.22807,1.193205,0.90678,3.1876716,0.983485333333,0.796748,1.1632105,chuckgrassley
clyburn,-0.957143,-125.92788,-19.13218,-49.9906,,-36.4602,-2.10752,-11.323005,,clyburn
conawaytx11,,,,,,,,,,conawaytx11
congbillposey,0.967105,,,,,,,,,congbillposey
congculberson,2.04935525,16.4496653333,,5.953135,0.90678,3.147655,1.95325,13.0385,9.486985,congculberson
conghuelskamp,3.18941,5.334424,9.78492,12.915598,10.034006,3.440394,8.91274,16.6057082,7.4087625,conghuelskamp
congmikesimpson,1.69479,0.757014,1.076198,1.06429,2.42718,,0.989362,0.8329895,,congmikesimpson
congpalazzo,2.77932,,-1.05234,16.8333,,0.909836,0.989362,1.10709266667,,congpalazzo
congressmangt,5.996984,12.96684,8.6092975,6.305415,5.5575,5.30556,6.935355,3.846574,5.32835,congressmangt
congressmanhice,5.78241833333,22.95875889,3.5580672,2.78348166667,2.34036166667,4.25689,4.937345,6.70186325,-1.3579105,congressmanhice
congressmanruiz,-0.61981365,,,-2.49504,-0.966387,,,-1.17391,,congressmanruiz
corybooker,-45.880645,-4.2111669425,-10.52843122,-9.19176833333,-4.85467833333,-8.23936142857,-3.661115,-4.37139166667,-5.539673,corybooker
cynthialummis,0.94139,,-0.000331614,,1.69921,6.58254,2.96809,,6.29808,cynthialummis
darrellissa,,6.615326,1.78065,,,,,0.421653,1.25913,darrellissa
daveloebsack,1.37997,1.14178,-1.222368,-4.72948666667,,,,,0.245202,daveloebsack
davereichert,1.74934,9.6320338,4.17533,2.66052333333,4.60156333333,1.99900333333,3.28139333333,1.743487,8.20925,davereichert
desjarlaistn04,2.0081132,6.36058,2.063235,,1.675186,9.51913913,3.86857666667,9.97991666667,8.36727333333,desjarlaistn04
donaldnorcross,-61.7499057143,-96.7390085714,-63.6979714286,-46.2370546857,-32.4568857143,-41.8910435714,-41.979856,-9.29175142857,-39.4966325714,donaldnorcross
dorismatsui,-35.5337528333,-72.72165,-27.6296633333,-11.898396,-28.6667,-71.5648666667,-11.2711196667,-16.122514,-58.7177,dorismatsui
drphilroe,11.307915,0.867052,5.31187333333,,5.660655,13.22,1.89796,24.69975,,drphilroe
eleanornorton,-0.548397666667,-103.856726667,-20.5549133333,-20.516311,-2.32136,-11.44163,-8.13047433333,-15.993942,-14.46809125,eleanornorton
farenthold,2.616645,4.29629516667,2.53552883333,1.65429233333,1.01681,,1.273282,2.882793,,farenthold
frankpallone,-8.5885123585,-151.12476,-25.066625,-23.365505,-9.5406704,-19.15152,-15.81807692,-3.29182333333,-6.9978205,frankpallone
gerryconnolly,-0.422923,-2.58593933333,-2.944582,-1.42232233333,-0.822362,-1.31303333333,-2.395008,-1.74913,-0.8131765,gerryconnolly
gkbutterfield,-31.201828,-44.9651933333,-41.81591,-23.698446725,-0.944557,-1.013356,-16.951423,-21.594805,-42.551175,gkbutterfield
gopleader,8.27564775,5.89907175,4.92382,18.64552,,1.584154,9.124135,8.64044,,gopleader
gracenapolitano,-24.307293,-77.6745,-13.165965,-51.48,-27.0,-43.9901,-35.2584725,-3.52174,-47.3974,gracenapolitano
grahamblog,,,,,,,,,,grahamblog
greggharper,1.7047,0.000891266,,2.40476,2.33952,1.94828,,,1.15957,greggharper
gregorymeeks,-36.36743475,-27.610848,-7.18675666667,-11.865638,-0.64122,-8.3582175,-29.2454695,-39.4615,-13.87704,gregorymeeks
herrerabeutler,,,,,0.235718,,,,,herrerabeutler
hurdonthehill,8.98279,9.01522285714,9.27826571429,8.76904571429,9.99080428571,7.11775142857,6.10701,6.16520285714,3.46067,hurdonthehill
inhofepress,,1.65101,,40.6679,,,,,0.0759917,inhofepress
jacksonleetx18,-71.330952,-77.61235,-92.246725,-67.055025,1.06785,-60.8100666667,-21.99679,-32.05129,-45.03444625,jacksonleetx18
jahimes,-3.37633666667,-16.045672,-6.8367175,-13.371101,-2.802834,-6.16916333333,-1.73515466667,-2.695725,-2.10026335,jahimes
janschakowsky,-55.079386,-100.087024,-75.542575,-48.637775,-15.736113,-9.686710935,-18.4518405,-34.213818,-51.531684,janschakowsky
jaredpolis,-2.16768,-1.12963,-0.905202,-9.08011,-0.654545,-5.57208666667,-3.35993,-2.343828,-2.48847366667,jaredpolis
jasoninthehouse,2.89206625,2.47651,9.73685,1.06429,,2.17392,3.95745,6.95012,2.48117525,jasoninthehouse
jeffflake,1.547759,1.84728433333,1.019619975,0.822770166667,-1.886997,,-0.503935,2.529937,8.911165,jeffflake
jefffortenberry,,0.650602,,,,,,,,jefffortenberry
jerrymoran,1.04165,10.5681655,2.57468,2.13052,0.961795,5.03977333333,1.75578,0.584122,1.33673,jerrymoran
jim_jordan,,6.37047,8.2794305,21.089645,,3.56478,,27.4287466667,,jim_jordan
jimlangevin,-16.3493820133,-3.59220666667,-13.2171552,-5.4964875,-6.59871756967,-1.59227566667,-5.788165,-2.9118498,-5.991306,jimlangevin
